# Thai word → POS tag
# Format: <thai_word><TAB><POS_TAG>
# Tags: NOUN VERB ADJ ADV PART PROPN PRON NUM CLAS CONJ AUX DET PREP
# Source: hand-curated from common Thai vocabulary (TNC high-frequency)
# Lines starting with # are comments; blank lines ignored
# Duplicate keys: last entry wins

# ── NOUN ─────────────────────────────────────────────────────────────────────
กระดาษ	NOUN
การ	NOUN
การงาน	NOUN
การเงิน	NOUN
กีฬา	NOUN
ข้าว	NOUN
ของ	NOUN
ความ	NOUN
ความคิด	NOUN
ความรัก	NOUN
ความรู้	NOUN
คอมพิวเตอร์	NOUN
คำ	NOUN
คำถาม	NOUN
คำตอบ	NOUN
งาน	NOUN
จดหมาย	NOUN
ชีวิต	NOUN
ชื่อ	NOUN
ดนตรี	NOUN
ดอกไม้	NOUN
ดิน	NOUN
ต้นไม้	NOUN
ตลาด	NOUN
ถนน	NOUN
ทะเล	NOUN
ที่	NOUN
น้ำ	NOUN
น้ำมัน	NOUN
บ้าน	NOUN
บริษัท	NOUN
ปลา	NOUN
ปัญหา	NOUN
ผล	NOUN
แผน	NOUN
ฝน	NOUN
พระ	NOUN
ภาพ	NOUN
ภาษา	NOUN
ภาษาไทย	NOUN
มือ	NOUN
แม่น้ำ	NOUN
ยา	NOUN
เรื่อง	NOUN
โรค	NOUN
โรงเรียน	NOUN
โรงพยาบาล	NOUN
รถ	NOUN
รถไฟ	NOUN
รูปภาพ	NOUN
เวลา	NOUN
วิชา	NOUN
ศาสนา	NOUN
สถานที่	NOUN
สิ่ง	NOUN
สินค้า	NOUN
หนังสือ	NOUN
หมา	NOUN
อาหาร	NOUN
เงิน	NOUN
เดือน	NOUN
เมือง	NOUN
แมว	NOUN
โทรศัพท์	NOUN
ไฟ	NOUN

# ── VERB ──────────────────────────────────────────────────────────────────────
กิน	VERB
กลับ	VERB
กลาย	VERB
กำหนด	VERB
ขาย	VERB
ขึ้น	VERB
เขียน	VERB
คิด	VERB
จัด	VERB
จบ	VERB
ช่วย	VERB
ซื้อ	VERB
ดู	VERB
ดื่ม	VERB
ถาม	VERB
ทำ	VERB
ทำงาน	VERB
นอน	VERB
นั่ง	VERB
บอก	VERB
บิน	VERB
ไป	VERB
เปิด	VERB
เปลี่ยน	VERB
พบ	VERB
พูด	VERB
ฟัง	VERB
เริ่ม	VERB
เรียน	VERB
เรียก	VERB
รับ	VERB
รัก	VERB
รู้	VERB
ส่ง	VERB
สร้าง	VERB
เห็น	VERB
หา	VERB
อ่าน	VERB
ออก	VERB
ใช้	VERB
มา	VERB
ยืน	VERB
วิ่ง	VERB
เดิน	VERB
ตอบ	VERB
ตื่น	VERB
เข้า	VERB
ลง	VERB
สอน	VERB
